Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Type,Item_Outlet_Sales
DRH,,0.298205272,Hard Drinks,55.7614,19,S,GS,110.5228
FDT,13.6,0.043902087,Fruits and Vegetables,157.0946,17,,ST1,5522.811
NCV,8.27,0.018797945,Health and Hygiene,241.288,13,H,ST1,5512.824
FDQ,,0,Snack Foods,151.6708,27,M,ST3,4815.0656
NCJ,9.895,0.060017128,Household,230.8642,13,H,ST1,4414.9198
FDY,,0.16147714,Frozen Foods,186.2266,19,S,GS,1106.5596
NCN,18.5,0.033944698,Others,129.9284,46,S,ST1,1054.6272
FDO,21.1,0.020803054,Breakfast,129.7994,18,M,ST2,1284.994
FDP,6.65,0.08816538,Fruits and Vegetables,126.8678,17,,ST1,1780.3492
NCN,18.5,0.034082974,Others,130.9284,18,M,ST2,1977.426
DRN,,0.016745264,Hard Drinks,180.766,27,M,ST3,3056.022
NCM,13,0.083009876,Household,61.1194,45,,ST1,2352.9372
FDD,,0.014721719,Dairy,193.6162,27,M,ST3,5195.2374
FDW,15,0.046375227,Breads,122.8414,46,S,ST1,731.0484
FDI,13.1,0.037639672,Fruits and Vegetables,175.6054,49,M,ST1,1050.6324
FDJ,11.1,0.04500603,Snack Foods,174.0054,18,M,ST2,2101.2648
FDD,16.75,0.013711274,Canned,100.2674,10,,GS,203.7348
FDS,7.655,0.032009653,Canned,117.2492,45,,ST1,2432.8332
FDY,10.5,0.026424424,Baking Goods,145.2128,45,,ST1,3739.1328
FDP,8.1,0.134870732,Canned,41.948,18,M,ST2,199.74
FDM,15.7,0.045295529,Frozen Foods,181.366,45,,ST1,1977.426
FDY,14.5,0.097750937,Snack Foods,159.7262,17,,ST1,5728.5432
NCM,17.7,0.05089667,Household,125.5678,13,H,ST1,1398.8458
FDK,7.36,0.052312034,Frozen Foods,58.5588,46,S,ST1,801.6232
NCI,18.75,0.010363586,Household,207.1954,35,S,ST1,1667.1632
FDF,18.2,0.012254429,Fruits and Vegetables,59.9904,18,M,ST2,644.4944
FDN,5.46,0.107223632,Fruits and Vegetables,144.8786,49,M,ST1,3323.0078
FDR,15.5,0.101335811,Fruits and Vegetables,196.5768,17,,ST1,3350.3056
FDX,12.85,0.098993139,Frozen Foods,39.3164,46,S,ST1,540.6296
FDB,15.25,0.026760329,Snack Foods,86.0198,17,,ST1,2006.0554
FDY,8.6,0.054594957,Breads,130.531,45,,ST1,1298.31
DRB,7.39,0.082170947,Soft Drinks,190.953,13,H,ST1,2466.789
FDR,9.035,0.173821519,Meat,151.4708,45,,ST1,2407.5328
FDR,11.65,0.131708682,Baking Goods,152.3024,49,M,ST1,1518.024
FDZ,15.7,0.027594064,Canned,171.179,13,H,ST1,1867.569
FDJ,18,0.12470444,Frozen Foods,120.3124,45,,ST1,2725.7852
NCG,,0.052247806,Household,190.853,27,M,ST3,4554.072
FDB,17.75,0.030559583,Dairy,257.4672,18,M,ST2,3835.008
FDH,17.1,0.046903482,Canned,142.0838,45,,ST1,2528.7084
NCY,18.2,0.163096139,Health and Hygiene,43.0086,46,S,ST1,758.3462
FDX,20.35,0,Fruits and Vegetables,234.4958,45,,ST1,1402.1748
FDN,15.6,0.081103929,Baking Goods,112.3544,46,S,ST1,1006.6896
FDG,13.3,0.071743629,Fruits and Vegetables,59.7536,18,M,ST2,918.804
FDP,6.71,0.035731825,Breads,218.3166,18,M,ST2,5660.6316
FDC,15,0.119131749,Snack Foods,226.9694,45,,ST1,6851.082
FDW,,0.037217847,Canned,86.8224,27,M,ST3,1448.7808
NCR,9.105,0.038559926,Household,33.89,45,,ST1,99.87
DRO,11.8,0.054238448,Hard Drinks,75.4012,49,M,ST1,986.7156
FDT,12,0.075856062,Baking Goods,124.5388,18,M,ST2,1733.7432
FDE,20.7,0.048957533,Fruits and Vegetables,37.8506,18,M,ST2,265.6542
FDF,10.3,0.059160135,Fruits and Vegetables,191.553,17,,ST1,6641.355
FDX,19.6,0.041536962,Frozen Foods,46.0376,13,H,ST1,527.3136
FDC,6.89,0,Snack Foods,193.482,49,M,ST1,2510.066
FDD,16.7,0.070297175,Dairy,216.385,45,,ST1,3678.545
DRC,13,0.044984874,Soft Drinks,175.0054,46,S,ST1,1926.1594
DRE,10.1,0.167155198,Soft Drinks,241.7512,46,S,ST1,5331.7264
FDP,15.6,0.142986863,Breakfast,130.3994,13,H,ST1,2826.9868
DRI,7.97,0,Soft Drinks,173.7422,45,,ST1,2759.0752
NCE,,0.162856593,Household,54.5956,19,S,GS,218.3824
NCS,5.945,0,Household,128.9652,17,,ST1,1808.3128
FDX,20.35,0.014885998,Fruits and Vegetables,234.4958,18,M,ST2,3271.7412
FDH,13.5,0.128816212,Starchy Foods,96.4068,46,S,ST1,2527.3768
FDY,6.71,0.029680868,Baking Goods,65.0142,18,M,ST2,856.8846
FDU,12.15,0.036360676,Breads,166.0184,10,,GS,330.2368
FDO,17.7,0.016582833,Fruits and Vegetables,50.5034,13,H,ST1,1458.102
FDP,20.5,0.112316501,Fruits and Vegetables,193.9478,13,H,ST1,4456.1994
FDX,19.1,0.096653315,Fruits and Vegetables,235.1958,13,H,ST1,4673.916
FDJ,12.3,0.021984639,Frozen Foods,191.2162,17,,ST1,1924.162
FDE,8.905,0.143351652,Frozen Foods,62.0878,49,M,ST1,302.939
FDC,14.5,0.041482394,Canned,40.0454,17,,ST1,209.727
FDV,8.365,0.040069806,Fruits and Vegetables,190.7188,17,,ST1,1904.188
NCF,8.51,0.052239735,Household,141.947,17,,ST1,2004.058
NCY,6.38,0.015149955,Household,144.047,13,H,ST1,3149.234
NCZ,,0.09370568,Household,253.8698,27,M,ST3,3297.7074
FDB,16.7,0.052401766,Frozen Foods,115.1176,35,S,ST1,1488.7288
FDL,10,0.063121982,Frozen Foods,231.7668,13,H,ST1,460.7336
FDF,14.5,0.058946687,Fruits and Vegetables,168.6448,45,,ST1,2897.5616
FDE,14.65,0.171245426,Fruits and Vegetables,50.3692,13,H,ST1,591.2304
FDU,,0.134057426,Snack Foods,45.3402,27,M,ST3,918.804
FDA,11.85,0.050368454,Fruits and Vegetables,163.8526,17,,ST1,1808.9786
NCC,19,0.026986367,Household,127.1336,46,S,ST1,2812.3392
FDO,6.36,0.120543611,Fruits and Vegetables,45.806,46,S,ST1,1165.15
FDU,18.85,0.036037952,Meat,58.4562,46,S,ST1,711.0744
NCK,9.6,0.006725388,Household,165.9184,18,M,ST2,2972.1312
FDI,5.94,0.034940979,Canned,177.3344,49,M,ST1,1605.9096
DRE,13.5,0.094219593,Soft Drinks,189.9872,46,S,ST1,1323.6104
NCN,10.85,0.048004263,Household,117.5808,10,,GS,351.5424
FDS,15.15,0.066164431,Frozen Foods,147.376,35,S,ST1,2197.14
FDE,15.6,0,Dairy,62.4194,18,M,ST2,804.9522
FDP,5.15,0,Meat,122.9388,17,,ST1,2105.2596
FDA,20.35,0.030975716,Dairy,253.9672,49,M,ST1,3068.0064
FDJ,8.895,0.039101813,Baking Goods,208.8296,49,M,ST1,5400.9696
FDT,21.25,0.010039493,Meat,181.7608,18,M,ST2,1102.5648
FDF,4.905,0.117308165,Canned,195.7768,35,S,ST1,2956.152
FDC,10.895,0.009641375,Dairy,124.173,45,,ST1,1601.249
NCL,,0.113212516,Others,254.604,19,S,GS,759.012
FDZ,17.75,0.067490036,Baking Goods,185.224,35,S,ST1,6338.416
FDW,6.8,0.037573095,Baking Goods,50.2034,45,,ST1,1166.4816
FDH,10.395,0.031219108,Seafood,156.9604,35,S,ST1,4595.3516
NCQ,14.8,0.032606181,Health and Hygiene,193.5794,10,,GS,390.1588
FDH,13.5,0,Baking Goods,84.554,18,M,ST2,778.986
FDX,16,0.106731895,Baking Goods,183.6634,35,S,ST1,2544.6876
FDK,17.85,0.0112259,Snack Foods,211.956,13,H,ST1,4474.176
FDV,18.7,0.026355345,Baking Goods,127.102,45,,ST1,3289.052
NCW,18,0.01548171,Health and Hygiene,159.3604,45,,ST1,2059.9852
FDU,,0.045465958,Fruits and Vegetables,120.8414,19,S,GS,852.8898
FDE,5.26,0.041857101,Baking Goods,162.7868,45,,ST1,4258.4568
FDO,6.175,0,Meat,94.9752,45,,ST1,1534.0032
FDW,5.86,0.151159243,Meat,156.6314,45,,ST1,3257.7594
FDJ,,0.056161529,Baking Goods,246.9118,27,M,ST3,5681.2714
FDR,10.5,0.142419608,Breads,161.1578,13,H,ST1,1765.0358
FDV,9.5,0.031410378,Fruits and Vegetables,110.3228,18,M,ST2,2763.07
FDO,,0.077790204,Canned,93.0804,27,M,ST3,2940.1728
FDN,11.8,0.014166739,Frozen Foods,178.2344,17,,ST1,2854.9504
FDZ,12.5,0.110215444,Fruits and Vegetables,81.8592,45,,ST1,1238.388
FDD,19.35,0.016679143,Frozen Foods,119.3098,18,M,ST2,1928.1568
FDV,20.2,0.117339056,Baking Goods,195.011,35,S,ST1,2749.754
NCG,20.2,0.112227747,Household,123.5046,13,H,ST1,2739.1012
FDX,,0.062724117,Canned,100.57,27,M,ST3,5093.37
FDW,6.8,0.037555348,Baking Goods,49.6034,49,M,ST1,972.068
DRM,,0.112349962,Soft Drinks,39.1848,27,M,ST3,559.272
FDF,,0.093217569,Snack Foods,116.7834,27,M,ST3,4952.8862
NCY,8.43,0.177661246,Household,170.5422,35,S,ST1,3621.2862
FDS,9.3,0.11184963,Breads,64.6826,17,,ST1,774.9912
FDB,11.35,0.06321435,Dairy,88.3856,35,S,ST1,1318.284
NCK,20.1,0.077892365,Health and Hygiene,59.3536,17,,ST1,918.804
FDT,11.35,0.051564827,Snack Foods,49.0008,10,,GS,101.2016
FDP,,0.070349402,Frozen Foods,228.601,27,M,ST3,7350.432
NCR,9.8,0.024521239,Health and Hygiene,117.5492,17,,ST1,1390.1904
NCN,20.35,0.021447102,Household,76.3328,17,,ST1,1312.9576
FDX,18.2,0.026059557,Baking Goods,241.2196,35,S,ST1,6507.5292
DRL,18.35,0.015301418,Hard Drinks,105.2938,35,S,ST1,2036.6822
DRN,12.1,0,Hard Drinks,179.866,45,,ST1,3595.32
FDM,10.695,0.060615254,Breakfast,174.0712,13,H,ST1,2460.7968
FDF,,0.066459891,Frozen Foods,184.2292,27,M,ST3,4560.73
FDU,11.8,0.076876046,Snack Foods,33.1558,45,,ST1,543.2928
FDI,13.8,0.14215211,Dairy,263.5884,17,,ST1,2384.8956
FDJ,15,0.058632705,Snack Foods,46.4744,18,M,ST2,543.2928
FDW,5.63,0.024541277,Meat,105.1306,46,S,ST1,3135.918
FDA,7.55,0.030992735,Fruits and Vegetables,124.3072,49,M,ST1,2695.1584
FDU,18.85,0.036241797,Meat,57.3562,17,,ST1,1007.3554
FDI,7.22,0.038398937,Baking Goods,61.951,45,,ST1,1518.024
FDK,17.85,0.011258035,Snack Foods,211.656,45,,ST1,2556.672
FDN,8.895,0.072511335,Breakfast,177.437,49,M,ST1,3528.74
FDV,19.25,0.101689151,Dairy,54.6956,13,H,ST1,163.7868
NCV,11.3,0.066625843,Household,194.2478,13,H,ST1,2712.4692
FDQ,10.85,0.162242617,Snack Foods,107.8622,46,S,ST1,1058.622
DRK,5,0,Soft Drinks,189.853,45,,ST1,4933.578
NCY,20,0,Health and Hygiene,110.2544,13,H,ST1,1454.1072
FDD,,0.044008347,Frozen Foods,43.7454,27,M,ST3,671.1264
FDV,10,0.025867353,Canned,264.6226,49,M,ST1,4757.8068
FDY,,0.016476619,Baking Goods,74.338,19,S,GS,146.476
FDH,8.63,0.031095246,Snack Foods,185.7582,46,S,ST1,3529.4058
NCD,9.1,0,Household,115.4518,17,,ST1,2390.8878
FDB,6.92,0.038422076,Dairy,62.5852,13,H,ST1,438.0964
NCH,6.86,0.061155983,Household,228.401,10,,GS,229.701
NCI,20,0.08131178,Others,37.819,35,S,ST1,439.428
FDL,14.1,0.125756824,Fruits and Vegetables,87.1198,35,S,ST1,2529.3742
FDG,17.6,0.05661033,Frozen Foods,41.7454,17,,ST1,209.727
FDJ,17.75,0.073709686,Seafood,35.1216,18,M,ST2,415.4592
FDJ,8.6,0.040432954,Canned,191.653,17,,ST1,3795.06
NCO,7.27,0.046749112,Health and Hygiene,100.4384,18,M,ST2,1970.768
FDW,6.8,0.062762374,Baking Goods,50.4034,10,,GS,48.6034
FDN,,0.045542628,Snack Foods,170.7132,27,M,ST3,4904.2828
FDH,6.935,0.041346469,Snack Foods,103.1332,49,M,ST1,820.2656
FDW,6.69,0.036903419,Meat,175.137,35,S,ST1,1235.059
DRK,,0.075084457,Hard Drinks,233.9616,27,M,ST3,4452.8704
FDU,12.35,0.026735372,Canned,57.4246,45,,ST1,810.9444
FDC,15.6,0.172453254,Fruits and Vegetables,115.1518,13,H,ST1,683.1108
FDG,,0.035666655,Frozen Foods,246.2486,27,M,ST3,8063.5038
FDI,13.1,0.037581243,Fruits and Vegetables,175.5054,46,S,ST1,2451.4756
FDK,9.195,0.122202946,Fruits and Vegetables,100.1016,13,H,ST1,1619.2256
FDW,11.15,0.056921876,Baking Goods,107.1622,35,S,ST1,423.4488
FDL,16.1,0.063319379,Dairy,180.9318,35,S,ST1,1984.7498
FDS,6.465,0.124402507,Canned,266.1884,13,H,ST1,5299.768
FDO,20.75,0.108879177,Snack Foods,161.5578,49,M,ST1,320.9156
FDS,7.655,0.032125561,Canned,115.7492,17,,ST1,2548.6824
FDV,20.25,0.076097073,Dairy,193.5794,13,H,ST1,1950.794
FDJ,18.75,0.052766297,Snack Foods,189.7504,13,H,ST1,2492.7552
FDC,11.5,0.020601791,Dairy,86.054,49,M,ST1,1038.648
NCH,,0.036360386,Household,231.601,27,M,ST3,7580.133
FDD,,0.140571971,Snack Foods,154.7998,27,M,ST3,3383.5956
FDT,7.5,0.05074138,Canned,123.2072,35,S,ST1,1837.608
FDR,17,0.015997687,Snack Foods,229.1352,45,,ST1,4580.704
FDQ,,0.033018559,Snack Foods,170.4422,27,M,ST3,5000.8238
DRI,6.03,0.022703693,Dairy,177.9028,46,S,ST1,4781.7756
FDB,,0.013431109,Snack Foods,143.7154,27,M,ST3,4821.7236
FDQ,15,0,Meat,235.6248,49,M,ST1,1896.1984
DRD,18.75,0.023876985,Dairy,97.4042,49,M,ST1,2281.6966
FDK,17.85,0.011281018,Snack Foods,213.756,18,M,ST2,3408.896
DRL,18.35,0.015328106,Hard Drinks,107.5938,49,M,ST1,1822.2946
FDW,18.35,0.094488071,Fruits and Vegetables,87.1882,45,,ST1,515.3292
NCL,19.6,0.047897663,Health and Hygiene,44.677,46,S,ST1,173.108
DRB,,0.081841136,Soft Drinks,190.053,27,M,ST3,569.259
NCL,14.65,0.072212787,Household,260.9594,45,,ST1,2878.2534
FDH,21,0.049505857,Snack Foods,195.3478,18,M,ST2,1162.4868
NCO,9.6,0.02981155,Household,45.2086,17,,ST1,669.129
FDV,17.6,0.058181585,Meat,154.4314,49,M,ST1,2326.971
FDW,14,0.037734782,Frozen Foods,166.4526,17,,ST1,4769.1254
NCZ,6.59,0,Household,119.1098,17,,ST1,964.0784
FDY,17.6,0.026827052,Breads,47.8402,10,,GS,91.8804
FDN,11.5,0.072881535,Fruits and Vegetables,191.353,46,S,ST1,2277.036
FDX,20.35,0.014822802,Fruits and Vegetables,234.0958,35,S,ST1,2570.6538
NCJ,18.7,0.046159928,Health and Hygiene,152.3682,49,M,ST1,1677.1502
FDN,5.46,0.107662745,Fruits and Vegetables,143.8786,17,,ST1,4334.358
FDZ,9.31,0.038014104,Frozen Foods,62.351,49,M,ST1,822.263
FDJ,12.3,0.106307146,Fruits and Vegetables,174.9396,35,S,ST1,1569.9564
FDI,18.2,0.066672058,Fruits and Vegetables,248.1092,17,,ST1,4233.1564
FDB,18.25,0.015341139,Snack Foods,200.0084,18,M,ST2,1984.084
FDY,18.25,0.171174491,Dairy,156.463,45,,ST1,938.778
NCZ,,0.325780807,Household,252.7698,19,S,GS,761.0094
DRO,10.195,0.112859454,Hard Drinks,114.486,17,,ST1,2490.092
FDW,5.34,0.005962753,Snack Foods,102.4358,35,S,ST1,2010.716
FDZ,,0.047358246,Dairy,123.1756,27,M,ST3,3998.7948
FDM,11.15,0.086105815,Snack Foods,167.879,45,,ST1,2886.243
FDK,9.8,0.026882496,Meat,126.302,49,M,ST1,3036.048
FDE,12.1,0.040521714,Fruits and Vegetables,178.5002,18,M,ST2,5552.1062
FDR,,0.020597493,Breads,200.0742,27,M,ST3,8958.339
FDT,,0.085538477,Snack Foods,169.2816,27,M,ST3,3523.4136
FDS,15.5,0,Snack Foods,141.547,17,,ST1,3006.087
FDF,15.5,0,Snack Foods,147.2418,18,M,ST2,1324.2762
FDP,5.15,0.10239789,Meat,122.1388,10,,GS,495.3552
FDT,17.25,0,Frozen Foods,37.5822,10,,GS,196.411
NCW,18.35,0.0304697,Health and Hygiene,191.3162,13,H,ST1,1346.9134
FDA,6.32,0.021287234,Meat,38.5822,10,,GS,78.5644
NCH,5.51,0.034467286,Health and Hygiene,96.7726,35,S,ST1,2642.5602
FDU,13.35,0.1027194,Dairy,228.8352,45,,ST1,5267.8096
FDN,,0.266234421,Breakfast,98.5358,19,S,GS,402.1432
FDX,,0.129668578,Fruits and Vegetables,206.8638,19,S,GS,207.0638
FDT,,0.02923013,Breads,189.4556,27,M,ST3,3567.3564
NCC,,0.176411579,Household,173.2422,27,M,ST3,2069.3064
FDA,14,0.050371508,Fruits and Vegetables,214.7192,10,,GS,862.8768
FDU,18.85,0.036184755,Meat,58.5562,18,M,ST2,770.3306
FDV,,0.070017381,Meat,89.3514,19,S,GS,177.1028
NCW,18.35,0.030556922,Health and Hygiene,190.6162,45,,ST1,3271.0754
NCZ,10.5,0.011278535,Household,237.0248,13,H,ST1,5451.5704
FDO,9.6,0,Snack Foods,191.0872,17,,ST1,4349.0056
FDQ,,0.027812304,Snack Foods,147.476,27,M,ST3,3368.948
FDZ,6.035,0.066051758,Baking Goods,187.724,18,M,ST2,2050.664
FDK,6.65,0.053506996,Canned,150.0734,18,M,ST2,3563.3616
FDU,,0.096046304,Meat,178.7028,27,M,ST3,4604.6728
FDS,7.285,0.049922304,Dairy,156.9288,13,H,ST1,1571.288
FDQ,11.1,0.036083537,Frozen Foods,175.4712,49,M,ST1,2988.1104
FDE,11.35,0.005539114,Fruits and Vegetables,167.879,49,M,ST1,4074.696
FDH,12.3,0.036939673,Snack Foods,113.1834,46,S,ST1,3109.9518
NCK,11.6,0.037793818,Health and Hygiene,99.3042,17,,ST1,2281.6966
FDJ,12.3,0.106928681,Fruits and Vegetables,173.7396,17,,ST1,3663.2316
FDN,18.85,0.138585859,Snack Foods,252.4724,45,,ST1,3271.7412
FDH,9.8,0.06407717,Fruits and Vegetables,116.7492,18,M,ST2,1621.8888
FDK,7.445,0.037708542,Baking Goods,74.7354,45,,ST1,1128.531
FDQ,11.1,0.036020711,Frozen Foods,177.2712,35,S,ST1,2109.2544
FDH,21,0.049295686,Snack Foods,194.4478,35,S,ST1,968.739
FDM,20.2,0.06449461,Snack Foods,259.2646,45,,ST1,3091.9752
FDX,18.2,0.026117345,Baking Goods,239.2196,45,,ST1,3133.2548
FDM,11.8,0.025904648,Meat,102.4674,13,H,ST1,2037.348
FDG,20.6,0.080235512,Fruits and Vegetables,188.9556,10,,GS,563.2668
DRD,9.8,0.013830218,Soft Drinks,45.306,13,H,ST1,1304.968
FDN,18.6,0.076855628,Snack Foods,161.0236,46,S,ST1,483.3708
NCQ,13,0.041824524,Household,256.7014,46,S,ST1,2805.0154
FDV,20.7,0.12152072,Frozen Foods,118.0466,46,S,ST1,1060.6194
FDC,9.8,0.073289899,Snack Foods,120.8098,17,,ST1,1325.6078
FDX,9.5,0.022054553,Meat,195.4452,35,S,ST1,4502.1396
NCD,21.1,0.029054046,Household,144.6786,49,M,ST1,2889.572
NCK,,0.006665667,Household,164.1184,27,M,ST3,3797.7232
FDZ,8.975,0.009057132,Canned,104.099,35,S,ST1,2476.776
FDT,4.92,0.045955031,Baking Goods,199.1084,46,S,ST1,2182.4924
FDB,17.5,0.007551607,Dairy,145.8102,49,M,ST1,1895.5326
NCC,,0.023835164,Household,103.3964,27,M,ST3,3050.6956
FDT,9.695,0.047503318,Frozen Foods,244.6144,49,M,ST1,3185.1872
FDK,,0.160665697,Snack Foods,227.5352,19,S,GS,916.1408
NCQ,7.725,0.048661041,Household,123.7414,10,,GS,121.8414
FDZ,,0.208987123,Baking Goods,106.0596,19,S,GS,215.7192
NCK,9.6,0.006692529,Household,164.9184,13,H,ST1,2972.1312
FDV,9.1,0.136695145,Breads,173.4054,10,,GS,875.527
FDR,17,0.140311123,Canned,265.6884,17,,ST1,2649.884
FDB,14,0.031330907,Canned,52.364,45,,ST1,745.696
DRD,12.1,0.061521569,Soft Drinks,55.8614,17,,ST1,1436.7964
FDG,19.85,0.176991029,Fruits and Vegetables,221.5772,17,,ST1,3558.0352
FDY,17.2,0.0120098,Canned,163.1184,35,S,ST1,2807.0128
FDD,8.71,0.072141818,Canned,183.3924,35,S,ST1,2776.386
FDC,6.89,0.136984147,Snack Foods,192.682,18,M,ST2,2703.148
DRD,18.75,0,Dairy,97.9042,45,,ST1,1686.4714
FDA,,0.052964982,Fruits and Vegetables,57.793,27,M,ST3,1754.383
FDW,14.5,0,Canned,154.4682,13,H,ST1,1524.682
FDV,,0.155316936,Fruits and Vegetables,64.151,19,S,GS,316.255
FDK,,0.048738407,Fruits and Vegetables,152.8682,27,M,ST3,5031.4506
NCA,20.75,0,Health and Hygiene,149.4734,13,H,ST1,2969.468
FDR,17.6,0.010031539,Snack Foods,161.5552,13,H,ST1,1787.0072
FDL,16.85,0.036383293,Snack Foods,91.0488,35,S,ST1,1086.5856
FDD,20.6,0,Snack Foods,178.1344,35,S,ST1,3568.688
FDW,5.175,0.03736783,Canned,86.9224,13,H,ST1,255.6672
FDR,17.85,0.087604647,Breads,196.9794,49,M,ST1,1560.6352
DRF,8.93,0.028461453,Dairy,152.234,49,M,ST1,5053.422
FDQ,,0.034244601,Baking Goods,97.2726,27,M,ST3,1957.452
FDS,7.655,0.031938828,Canned,114.1492,35,S,ST1,1158.492
NCI,18.35,0.014024028,Household,224.5746,46,S,ST1,2692.4952
NCJ,,0.014232071,Household,100.9332,27,M,ST3,1743.0644
FDY,14,0.023730384,Baking Goods,104.3332,35,S,ST1,1435.4648
FDB,11.6,0.038578846,Dairy,56.1272,49,M,ST1,671.1264
DRI,15.85,0.108036187,Soft Drinks,57.3904,18,M,ST2,703.0848
FDB,10.5,0.013572808,Snack Foods,143.2154,17,,ST1,1559.9694
FDV,16.7,0.06082402,Baking Goods,98.7384,13,H,ST1,1773.6912
NCU,17.6,0.074345142,Household,230.901,13,H,ST1,4364.319
FDU,18.25,0.075501241,Snack Foods,123.1046,18,M,ST2,249.0092
FDP,21.1,0.16216286,Fruits and Vegetables,62.2168,18,M,ST2,383.5008
FDV,9.1,0.081652352,Breads,177.0054,35,S,ST1,2101.2648
NCY,15.25,0.061434045,Household,130.9968,18,M,ST2,2348.9424
NCV,14.35,0.017073332,Health and Hygiene,109.5228,45,,ST1,1657.842
FDQ,,0.118806857,Frozen Foods,248.8434,27,M,ST3,6705.2718
FDM,5.885,0.092694107,Canned,53.6982,13,H,ST1,1525.3478
FDA,16.1,0.065183228,Dairy,148.076,46,S,ST1,1464.76
FDB,,0.005561538,Starchy Foods,224.0062,27,M,ST3,3837.0054
DRH,19.7,0.024635077,Soft Drinks,84.1592,13,H,ST1,1073.2696
FDI,11.5,0.126313413,Frozen Foods,100.6358,17,,ST1,2010.716
FDR,16.5,0.066383907,Breakfast,180.4292,45,,ST1,2189.1504
FDS,15.15,0.066279832,Frozen Foods,147.876,49,M,ST1,4540.756
FDT,12.15,0.042681522,Meat,184.295,46,S,ST1,2014.045
FDL,15.7,0,Fruits and Vegetables,112.4544,13,H,ST1,1230.3984
FDB,11.6,0.038736838,Dairy,55.8272,17,,ST1,1454.1072
FDX,12.85,0.098910759,Frozen Foods,37.6164,13,H,ST1,308.9312
DRD,15,0.049178998,Soft Drinks,65.6168,45,,ST1,639.168
FDZ,11,0.057011062,Fruits and Vegetables,241.9512,13,H,ST1,2908.2144
DRM,5.88,0.003589104,Hard Drinks,155.5998,13,H,ST1,1691.7978
NCZ,7.825,0,Household,253.4698,17,,ST1,6849.0846
FDH,,0.043690499,Frozen Foods,60.2194,27,M,ST3,1733.7432
FDM,10.695,0.10154201,Breakfast,173.7712,10,,GS,175.7712
NCP,,0.025164132,Health and Hygiene,152.6024,27,M,ST3,6072.096
FDY,13.6,0.119077255,Dairy,231.23,13,H,ST1,2330.3
FDO,8.06,0.021497594,Breakfast,230.3326,17,,ST1,1386.1956
FDV,,0.025702129,Canned,262.6226,27,M,ST3,7136.7102
NCP,7.105,0.075000682,Household,61.0562,10,,GS,296.281
NCJ,18.6,0.118419683,Others,58.3588,45,,ST1,1545.9876
FDW,9.5,0.035151215,Fruits and Vegetables,171.8448,46,S,ST1,2556.672
FDU,16.85,0.044414056,Fruits and Vegetables,182.4266,46,S,ST1,2028.6926
FDZ,17.85,0.052471995,Snack Foods,123.7072,17,,ST1,2450.144
FDZ,13.1,0.020853376,Dairy,117.4782,13,H,ST1,1906.8512
NCI,11.3,0.047791878,Household,180.766,49,M,ST1,5033.448
FDD,13.3,0.02136022,Baking Goods,120.4124,18,M,ST2,1777.686
FDD,15.2,0.103988736,Fruits and Vegetables,177.0054,45,,ST1,3677.2134
FDX,20.7,0.114581955,Dairy,94.3436,18,M,ST2,945.436
FDG,7.405,0.02556185,Canned,89.7146,10,,GS,182.4292
FDU,6.15,0.046459438,Baking Goods,100.5384,18,M,ST2,1675.1528
FDJ,11.35,0.023322478,Dairy,182.5608,46,S,ST1,3307.6944
FDG,19.85,0.175962247,Fruits and Vegetables,223.0772,35,S,ST1,1779.0176
FDV,,0.255929096,Meat,103.3648,19,S,GS,311.5944
FDS,8.18,0.082333019,Frozen Foods,58.1588,13,H,ST1,343.5528
FDU,12.15,0.021757269,Breads,165.0184,49,M,ST1,3302.368
DRI,6.03,0.0226994,Dairy,176.4028,35,S,ST1,4250.4672
FDH,15.85,0.110653377,Frozen Foods,36.9506,17,,ST1,759.012
FDP,18.6,0.065771529,Frozen Foods,245.7802,10,,GS,245.6802
NCQ,12,0,Health and Hygiene,262.3278,17,,ST1,1561.9668
NCH,17.1,0,Household,114.686,18,M,ST2,1358.232
FDU,10.5,0.024991056,Fruits and Vegetables,217.9508,46,S,ST1,2821.6604
FDF,17.5,0.013658248,Frozen Foods,256.3304,49,M,ST1,6199.9296
FDZ,16.1,0.034278413,Fruits and Vegetables,255.2356,13,H,ST1,6867.0612
NCK,20.1,0,Health and Hygiene,61.3536,10,,GS,183.7608
FDV,,0.185306514,Breads,125.6046,19,S,GS,622.523
FDA,7.55,0.051794958,Fruits and Vegetables,122.6072,10,,GS,122.5072
FDL,19.25,0.027058066,Meat,194.811,13,H,ST1,2749.754
FDX,19.6,0.041740902,Frozen Foods,49.2376,18,M,ST2,958.752
FDV,14.85,0.035400659,Fruits and Vegetables,161.9578,18,M,ST2,1444.1202
FDP,14.65,0.099535996,Snack Foods,52.2666,18,M,ST2,615.1992
FDT,9.3,0.175336471,Snack Foods,107.0964,17,,ST1,1472.7496
FDZ,,0.143319995,Dairy,237.5222,27,M,ST3,7170.666
NCM,14.5,0.01950565,Others,163.921,49,M,ST1,2446.815
DRK,8.365,0.071846495,Hard Drinks,37.9506,46,S,ST1,569.259
FDO,12.85,0,Fruits and Vegetables,252.3382,46,S,ST1,4794.4258
FDO,13.5,0.017887238,Snack Foods,79.496,49,M,ST1,1438.128
FDM,7.365,0.159967845,Snack Foods,94.712,46,S,ST1,1304.968
FDO,21.1,0.020718655,Breakfast,130.4994,46,S,ST1,2184.4898
